pmcid,pmid,doi,title,journal,publication_year,license,count,females_count,males_count,n_groups,healthy_count,patient_count,unknown_count
3366978,22675513.0,10.1371/journal.pone.0038115,Real-Time Self-Regulation of Emotion Networks in Patients with Depression,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/,8.0,,,1,,8.0,
6102316,30154703.0,10.3389/fnhum.2018.00296,Interpretation of Social Interactions: Functional Imaging of Cognitive-Semiotic Categories During Naturalistic Viewing,Front Hum Neurosci,2018,http://creativecommons.org/licenses/by/4.0/,16.0,,,1,,,16.0
8168467,34084128.0,10.3389/fncir.2021.624352,Decoding Spatial Memory Retrieval in Cubical Space Using fMRI Signals,Front Neural Circuits,2021,https://creativecommons.org/licenses/by/4.0/,20.0,,,1,20.0,,
4599064,26500572.0,10.3389/fpsyg.2015.01475,Chemosensory anxiety cues moderate the experience of social exclusion – an fMRI investigation with Cyberball,Front Psychol,2015,http://creativecommons.org/licenses/by/4.0/,24.0,,,1,24.0,,
3483777,23125932.0,10.1155/2012/820240,Induced Brain Plasticity after a Facilitation Programme for Autobiographical Memory in Multiple Sclerosis: A Preliminary Study,Mult Scler Int,2012,https://creativecommons.org/licenses/by/3.0/,23.0,,,2,15.0,8.0,
5112988,27846290.0,10.1371/journal.pone.0166210,Altered Effective Connectivity of the Primary Motor Cortex in Stroke: A Resting-State fMRI Study with Granger Causality Analysis,PLoS One,2016,http://creativecommons.org/licenses/by/4.0/,47.0,,,2,24.0,23.0,
5341328,28337156.0,10.3389/fpsyg.2017.00174,Lack of Evidence That Neural Empathic Responses Are Blunted in Excessive Users of Violent Video Games: An fMRI Study,Front Psychol,2017,http://creativecommons.org/licenses/by/4.0/,15.0,,,1,15.0,,
3759791,24027512.0,10.3389/fnhum.2013.00523,"Reappraising social emotions: the role of inferior frontal gyrus, temporo-parietal junction and insula in interpersonal emotion regulation",Front Hum Neurosci,2013,http://creativecommons.org/licenses/by/3.0/,21.0,10.0,11.0,1,,,21.0
2478709,18682729.0,10.1371/journal.pone.0002868,Individual Attachment Style Modulates Human Amygdala and Striatum Activation during Social Appraisal,PLoS One,2008,http://creativecommons.org/licenses/by/4.0/,16.0,8.0,8.0,1,16.0,,
3686858,23840392.0,10.1371/journal.pone.0066032,Identifying Emotions on the Basis of Neural Activation,PLoS One,2013,http://creativecommons.org/licenses/by/4.0/,2.0,,,1,,,2.0
4189331,25339893.0,10.3389/fnhum.2014.00810,Activity of right premotor-parietal regions dependent upon imagined force level: an fMRI study,Front Hum Neurosci,2014,http://creativecommons.org/licenses/by/4.0/,16.0,3.0,13.0,1,,,16.0
7681174,33283146.0,10.1017/pen.2020.13,Mapping neural activity patterns to contextualized fearful facial expressions onto callous-unemotional (CU) traits: intersubject representational similarity analysis reveals less variation among high-CU adolescents,Personal Neurosci,2020,http://creativecommons.org/licenses/by/4.0/,30.0,,,1,,,30.0
4263140,25424131.0,10.1038/ncomms6547,Laminar activity in the hippocampus and entorhinal cortex related to novelty and episodic encoding,Nat Commun,2014,http://creativecommons.org/licenses/by-nc-nd/4.0/,19.0,,,1,,,19.0
6749494,31368674.0,10.1002/brb3.1377,How words impact on pain,Brain Behav,2019,http://creativecommons.org/licenses/by/4.0/,17.0,11.0,6.0,1,17.0,,
4112936,25120447.0,10.3389/fnhum.2014.00535,The role of parietal cortex in the formation of color and motion based concepts,Front Hum Neurosci,2014,http://creativecommons.org/licenses/by/3.0/,16.0,,,1,,,16.0
7172875,32322322.0,10.5114/pjr.2020.94063,Altered intrinsic brain activity and regional cerebral blood flow in patients with chronic neck and shoulder pain,Pol J Radiol,2020,https://creativecommons.org/licenses/by-nc-nd/4.0/,53.0,,,2,25.0,28.0,
4019881,24847235.0,10.3389/fnhum.2014.00273,Dissociating dynamic probability and predictability in observed actions—an fMRI study,Front Hum Neurosci,2014,http://creativecommons.org/licenses/by/3.0/,2.0,,,1,,,2.0
6092994,30154837.0,10.1155/2018/5943759,"The Neural and Behavioral Correlates of Anomia Recovery following Personalized Observation, Execution, and Mental Imagery Therapy: A Proof of Concept",Neural Plast,2018,http://creativecommons.org/licenses/by/4.0/,2.0,,,1,,,2.0
6545409,31158692.0,10.1016/j.nicl.2019.101863,Expectation of sexual images of adults and children elicits differential dorsal anterior cingulate cortex activation in pedophilic sexual offenders and healthy controls,Neuroimage Clin,2019,http://creativecommons.org/licenses/by-nc-nd/4.0/,26.0,,,1,,,26.0
6909243,31866810.0,10.3389/fnins.2019.01299,Chronic Tinnitus Exhibits Bidirectional Functional Dysconnectivity in Frontostriatal Circuit,Front Neurosci,2019,http://creativecommons.org/licenses/by/4.0/,105.0,,,2,55.0,50.0,
5805221,28868952.0,10.1177/0300060517720344,"An fMRI study of the effects on normal language areas when
acupuncturing the Tongli (HT5) and Xuanzhong (GB39)
acupoints",J Int Med Res,2017,http://creativecommons.org/licenses/by-nc/4.0/,10.0,5.0,5.0,1,10.0,,
8566838,34761123.0,10.1002/hsr2.406,Even a little sleepiness influences neural activation and clinical reasoning in novices,Health Sci Rep,2021,https://creativecommons.org/licenses/by-nc-nd/4.0/,20.0,,,1,20.0,,
3515589,23227168.0,10.1371/journal.pone.0050359,Resting-State Connectivity of the Sustained Attention Network Correlates with Disease Duration in Idiopathic Generalized Epilepsy,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/,28.0,,,2,14.0,14.0,
6306484,30618688.0,10.3389/fnhum.2018.00512,Language Network Function in Young Children Born Very Preterm,Front Hum Neurosci,2018,http://creativecommons.org/licenses/by/4.0/,4.0,,,1,,,4.0
6861638,31795049.0,10.1016/j.nicl.2019.102015,Deficits in executive function and suppression of default mode network in obesity,Neuroimage Clin,2019,http://creativecommons.org/licenses/by-nc-nd/4.0/,8.0,,,1,,,8.0
4205092,25333997.0,10.1371/journal.pone.0111046,Episodic Future Thinking in Semantic Dementia: A Cognitive and fMRI Study,PLoS One,2014,http://creativecommons.org/licenses/by/4.0/,16.0,,,2,12.0,4.0,
4410794,25172389.0,10.1016/j.neuropsychologia.2014.08.017,Age-related sensitivity to task-related modulation of language-processing networks,Neuropsychologia,2014,https://creativecommons.org/licenses/by/3.0/,1.0,,,1,,,1.0
3931746,24016745.0,10.1016/j.dcn.2013.08.001,Equivalent neural responses in children and adolescents with and without autism during judgments of affect,Dev Cogn Neurosci,2013,http://creativecommons.org/licenses/by-nc-nd/3.0/,26.0,,,1,,,26.0
4182760,25272033.0,10.1371/journal.pone.0108883,Spontaneous Brain Activity in Type 2 Diabetics Revealed by Amplitude of Low-Frequency Fluctuations and Its Association with Diabetic Vascular Disease: A Resting-State fMRI Study,PLoS One,2014,http://creativecommons.org/licenses/by/4.0/,17.0,,,1,,17.0,
4967793,26979966.0,10.1093/scan/nsw029,Primary somatosensory contribution to action observation brain activity—combining fMRI and cTBS,Soc Cogn Affect Neurosci,2016,http://creativecommons.org/licenses/by/4.0/,2.0,,,1,,,2.0
7978337,33739980.0,10.1371/journal.pone.0247753,Acute hyperglycaemia leads to altered frontal lobe brain activity and reduced working memory in type 2 diabetes,PLoS One,2021,http://creativecommons.org/licenses/by/4.0/,273.0,,,1,273.0,,
7295154,32581734.0,10.3389/fnint.2020.00025,Distinct Insular Functional Connectivity Changes Related to Mood and Fatigue Improvements in Major Depressive Disorder Following Tai Chi Training: A Pilot Study,Front Integr Neurosci,2020,http://creativecommons.org/licenses/by/4.0/,16.0,,,1,,16.0,
7416094,32802795.0,10.31661/jbpe.v0i0.1174,Identification of the Cognitive Interference Effect Related to Stroop Stimulation: Using Dynamic Causal Modeling of Effective Connectivity in Functional Near-Infrared Spectroscopy (fNIRS),J Biomed Phys Eng,2020,http://creativecommons.org/licenses/by-nc/4.0/,12.0,,,1,12.0,,
6216427,29897625.0,10.1111/epi.14448,Effects of carbamazepine and lamotrigine on functional magnetic resonance imaging cognitive networks,Epilepsia,2018,http://creativecommons.org/licenses/by/4.0/,84.0,,,2,42.0,42.0,
6282848,29537670.0,10.1002/jmri.26006,Impaired decision‐making and functional neuronal network activity in systemic lupus erythematosus,J Magn Reson Imaging,2018,http://creativecommons.org/licenses/by-nc-nd/4.0/,32.0,,,2,16.0,16.0,
7428479,32525273.0,10.1002/brb3.1707,Multi‐voxel pattern analysis of amygdala functional connectivity at rest predicts variability in posttraumatic stress severity,Brain Behav,2020,http://creativecommons.org/licenses/by/4.0/,90.0,,,1,,,90.0
6114065,30186320.0,10.1155/2018/7058953,Functional Connectivity Alterations in Children with Spastic and Dyskinetic Cerebral Palsy,Neural Plast,2018,http://creativecommons.org/licenses/by/4.0/,18.0,,,1,18.0,,
3072511,21153806.0,10.1007/s00213-010-2111-5,Modafinil modulation of the default mode network,Psychopharmacology (Berl),2010,https://creativecommons.org/licenses/by-nc/4.0/,18.0,,,1,18.0,,
5767270,29375349.0,10.3389/fnhum.2017.00654,Correlation of BOLD Signal with Linear and Nonlinear Patterns of EEG in Resting State EEG-Informed fMRI,Front Hum Neurosci,2017,http://creativecommons.org/licenses/by/4.0/,25.0,,,1,25.0,,
6823717,31708762.0,10.3389/fnhum.2019.00380,Common Neural System for Sentence and Picture Comprehension Across Languages: A Chinese–Japanese Bilingual Study,Front Hum Neurosci,2019,http://creativecommons.org/licenses/by/4.0/,32.0,,,1,,,32.0
4871416,27192082.0,10.1371/journal.pone.0155092,Task and Resting-State fMRI Reveal Altered Salience Responses to Positive Stimuli in Patients with Major Depressive Disorder,PLoS One,2016,http://creativecommons.org/licenses/by/4.0/,38.0,,,2,19.0,19.0,
7267906,32112506.0,10.1002/hbm.24923,Parietal memory network and default mode network in first‐episode drug‐naïve schizophrenia: Associations with auditory hallucination,Hum Brain Mapp,2020,http://creativecommons.org/licenses/by/4.0/,60.0,,,1,60.0,,
7785343,33456630.0,10.1155/2020/6683161,Changes in Functional Connectivity of Specific Cerebral Regions in Patients with Toothache: A Resting-State Functional Magnetic Resonance Imaging Study,Dis Markers,2020,https://creativecommons.org/licenses/by/4.0/,36.0,,,2,18.0,18.0,
2582437,19018279.0,10.1371/journal.pone.0003754,The Neural Basis of Object-Context Relationships on Aesthetic Judgment,PLoS One,2008,http://creativecommons.org/licenses/by/4.0/,15.0,6.0,9.0,1,,,15.0
6987789,28314184.0,10.1016/j.dcn.2017.02.010,How does the body representation system develop in the human brain?,Dev Cogn Neurosci,2017,http://creativecommons.org/licenses/by-nc-nd/4.0/,11.0,,,1,,,11.0
3557158,23316957.0,10.1186/1471-2202-14-8,Brain activity underlying auditory perceptual learning during short period training: simultaneous fMRI and EEG recording,BMC Neurosci,2013,http://creativecommons.org/licenses/by/2.0,11.0,1.0,10.0,1,,,11.0
3579187,23440005.0,10.3389/fnhum.2013.00038,Resting-state functional connectivity of ventral parietal regions associated with attention reorienting and episodic recollection,Front Hum Neurosci,2013,http://creativecommons.org/licenses/by/3.0/,24.0,14.0,10.0,1,,,24.0
4547759,26301900.0,10.1371/journal.pone.0135912,Is the Medial Prefrontal Cortex Necessary for Theory of Mind?,PLoS One,2015,http://creativecommons.org/licenses/by/4.0/,20.0,,,1,20.0,,
8505455,34635669.0,10.1038/s41539-021-00107-6,The neuroscience of advanced scientific concepts,NPJ Sci Learn,2021,https://creativecommons.org/licenses/by/4.0/,3.0,,,1,,,3.0
4389358,25904856.0,10.3389/fnhum.2015.00164,Interpersonal touch suppresses visual processing of aversive stimuli,Front Hum Neurosci,2015,http://creativecommons.org/licenses/by/4.0/,8.0,,,1,,,8.0
6041563,30009127.0,10.1016/j.nicl.2018.05.023,The effect of tDCS on functional connectivity in primary progressive aphasia,Neuroimage Clin,2018,http://creativecommons.org/licenses/by-nc-nd/4.0/,24.0,11.0,13.0,1,,,24.0
5359254,28377697.0,10.3389/fnana.2017.00019,The Rewarding Effect of Pictures with Positive Emotional Connotation upon Perception and Processing of Pleasant Odors—An FMRI Study,Front Neuroanat,2017,http://creativecommons.org/licenses/by/4.0/,28.0,,,1,,,28.0
8413771,34152089.0,10.1002/brb3.2261,Atypical resting state functional connectivity in mild traumatic brain injury,Brain Behav,2021,https://creativecommons.org/licenses/by/4.0/,53.0,,,2,26.0,27.0,
8565294,34744682.0,10.3389/fnagi.2021.666301,Disrupted Brain Connectivity Networks in Aphasia Revealed by Resting-State fMRI,Front Aging Neurosci,2021,https://creativecommons.org/licenses/by/4.0/,43.0,,,2,19.0,24.0,
8121565,34035803.0,10.1155/2021/6690414,Potential Alterations of Functional Connectivity Analysis in the Patients with Chronic Prostatitis/Chronic Pelvic Pain Syndrome,Neural Plast,2021,https://creativecommons.org/licenses/by/4.0/,7.0,,,1,,7.0,
4802529,27054162.0,10.1016/j.dib.2016.03.006,"fMRI data from Korean, Chinese and English subjects in a word rhyming judgment task",Data Brief,2016,http://creativecommons.org/licenses/by/4.0/,3.0,,,1,,,3.0
8363005,34388179.0,10.1371/journal.pone.0256100,Repeated anodal high-definition transcranial direct current stimulation over the left dorsolateral prefrontal cortex in mild cognitive impairment patients increased regional homogeneity in multiple brain regions,PLoS One,2021,https://creativecommons.org/licenses/by/4.0/,43.0,,,1,,,43.0
6790302,31557426.0,10.1002/brb3.1397,Striatal responsiveness to reward under threat‐of‐shock and working memory load: A preliminary study,Brain Behav,2019,http://creativecommons.org/licenses/by/4.0/,23.0,14.0,9.0,1,23.0,,
8677754,34916583.0,10.1038/s42003-021-02926-0,Aesthetic appraisals of literary style and emotional intensity in narrative engagement are neurally dissociable,Commun Biol,2021,https://creativecommons.org/licenses/by/4.0/,52.0,,,1,,,52.0
6051311,30035005.0,10.1016/j.nicl.2018.04.002,Decoding moral emotions in obsessive-compulsive disorder,Neuroimage Clin,2018,http://creativecommons.org/licenses/by-nc-nd/4.0/,36.0,,,2,18.0,18.0,
6465626,31057439.0,10.3389/fpsyt.2019.00227,"Emotion Processing, Reappraisal, and Craving in Alcohol Dependence: A Functional Magnetic Resonance Imaging Study",Front Psychiatry,2019,http://creativecommons.org/licenses/by/4.0/,39.0,17.0,22.0,1,39.0,,
7880987,33580032.0,10.1038/s41537-021-00138-3,"Intermittent theta burst stimulation for negative symptoms of schizophrenia—A double-blind, sham-controlled pilot study",NPJ Schizophr,2021,http://creativecommons.org/licenses/by/4.0/,22.0,,,1,,22.0,
3525956,23267322.0,10.3389/fnhum.2012.00331,Interaction vs. observation: distinctive modes of social cognition in human brain and behavior? A combined fMRI and eye-tracking study,Front Hum Neurosci,2012,http://creativecommons.org/licenses/by/3.0/,22.0,,,1,22.0,,
4582804,25497693.0,10.1016/j.neuropsychologia.2014.12.012,Semantic retrieval during overt picture description: Left anterior temporal or the parietal lobe?,Neuropsychologia,2015,http://creativecommons.org/licenses/by/3.0/,25.0,17.0,8.0,1,,,25.0
7456987,32922322.0,10.3389/fpsyt.2020.00825,Disrupted Regional Homogeneity in Drug-Naive Patients With Bipolar Disorder,Front Psychiatry,2020,http://creativecommons.org/licenses/by/4.0/,82.0,,,2,42.0,40.0,
7013238,32116814.0,10.3389/fpsyt.2019.00983,Abnormal Functional and Structural Connectivity of Amygdala-Prefrontal Circuit in First-Episode Adolescent Depression: A Combined fMRI and DTI Study,Front Psychiatry,2019,http://creativecommons.org/licenses/by/4.0/,37.0,,,1,37.0,,
5423966,28539875.0,10.3389/fnbeh.2017.00085,Trait Rumination Influences Neural Correlates of the Anticipation but Not the Consumption Phase of Reward Processing,Front Behav Neurosci,2017,http://creativecommons.org/licenses/by/4.0/,37.0,22.0,15.0,1,,,37.0
4333775,25745394.0,10.3389/fnhum.2015.00081,Directionality of large-scale resting-state brain networks during eyes open and eyes closed conditions,Front Hum Neurosci,2015,http://creativecommons.org/licenses/by/4.0/,20.0,11.0,9.0,1,20.0,,
4859784,27026657.0,10.1016/j.dcn.2016.02.004,Working memory filtering continues to develop into late adolescence,Dev Cogn Neurosci,2016,http://creativecommons.org/licenses/by-nc-nd/4.0/,64.0,,,1,,,64.0
8824585,35145372.0,10.3389/fnins.2021.748080,Effect of Phase-Encoding Direction on Gender Differences: A Resting-State Functional Magnetic Resonance Imaging Study,Front Neurosci,2021,https://creativecommons.org/licenses/by/4.0/,113.0,,,1,113.0,,
4707362,26823984.0,10.1155/2016/3547203,Altered Local Spontaneous Brain Activity in Juvenile Myoclonic Epilepsy: A Preliminary Resting-State fMRI Study,Neural Plast,2015,https://creativecommons.org/licenses/by/4.0/,43.0,29.0,14.0,2,22.0,21.0,
5428215,28325901.0,10.1038/s41598-017-00310-9,Correlates of Social Exclusion in Social Anxiety Disorder: An fMRI study,Sci Rep,2017,http://creativecommons.org/licenses/by/4.0/,46.0,,,2,23.0,23.0,
4464254,26065910.0,10.1038/srep10534,Novelty seeking is related to individual risk preference and brain activation associated with risk prediction during decision making,Sci Rep,2015,http://creativecommons.org/licenses/by/4.0/,30.0,3.0,27.0,1,,,30.0
7375093,32379391.0,10.1002/hbm.25016,Masking effects on subjective annoyance to aircraft flyover noise: An fMRI study,Hum Brain Mapp,2020,http://creativecommons.org/licenses/by/4.0/,2.0,,,1,,,2.0
7060213,32144318.0,10.1038/s41598-020-61119-7,Microstates-based resting frontal alpha asymmetry approach for understanding affect and approach/withdrawal behavior,Sci Rep,2020,http://creativecommons.org/licenses/by/4.0/,39.0,,,1,39.0,,
5073133,27818633.0,10.3389/fnagi.2016.00244,The Primacy Effect in Amnestic Mild Cognitive Impairment: Associations with Hippocampal Functional Connectivity,Front Aging Neurosci,2016,http://creativecommons.org/licenses/by/4.0/,87.0,,,1,,87.0,
5082970,27788143.0,10.1371/journal.pone.0163980,Brain Connectivity Changes in Autosomal Recessive Parkinson Disease: A Model for the Sporadic Form,PLoS One,2016,http://creativecommons.org/licenses/by/4.0/,30.0,,,2,22.0,8.0,
3788711,24098513.0,10.1371/journal.pone.0076488,"Default Mode, Dorsal Attention and Auditory Resting State Networks Exhibit Differential Functional Connectivity in Tinnitus and Hearing Loss",PLoS One,2013,http://creativecommons.org/licenses/by/4.0/,3.0,,,1,,,3.0
8152848,34296152.0,10.1093/texcom/tgab003,Brain Activation during Thoughts of One’s Own Death and Its Linear and Curvilinear Correlations with Fear of Death in Elderly Individuals: An fMRI Study,Cereb Cortex Commun,2021,https://creativecommons.org/licenses/by/4.0/,34.0,15.0,19.0,1,,,34.0
4773387,26958462.0,10.1016/j.nicl.2016.02.003,Correlation between amygdala BOLD activity and frontal EEG asymmetry during real-time fMRI neurofeedback training in patients with depression,Neuroimage Clin,2016,http://creativecommons.org/licenses/by-nc-nd/4.0/,24.0,,,1,,24.0,
3885617,24416273.0,10.1371/journal.pone.0084729,Contribution of the Resting-State Functional Connectivity of the Contralesional Primary Sensorimotor Cortex to Motor Recovery after Subcortical Stroke,PLoS One,2014,http://creativecommons.org/licenses/by/4.0/,26.0,,,2,13.0,13.0,
3487908,23133615.0,10.1371/journal.pone.0048181,Regional Homogeneity within the Default Mode Network in Bipolar Depression: A Resting-State Functional Magnetic Resonance Imaging Study,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/,52.0,,,2,26.0,26.0,
6304436,30618723.0,10.3389/fnagi.2018.00417,Multivariate Deep Learning Classification of Alzheimer’s Disease Based on Hierarchical Partner Matching Independent Component Analysis,Front Aging Neurosci,2018,http://creativecommons.org/licenses/by/4.0/,68.0,,,2,34.0,34.0,
8844611,35151040.0,10.1016/j.nicl.2022.102958,Narrow doorways alter brain connectivity and step patterns in isolated REM sleep behaviour disorder,Neuroimage Clin,2022,https://creativecommons.org/licenses/by-nc-nd/4.0/,40.0,,,2,17.0,23.0,
4589806,26445698.0,10.1002/brb3.358,Altered resting perfusion and functional connectivity of default mode network in youth with autism spectrum disorder,Brain Behav,2015,http://creativecommons.org/licenses/by/4.0/,22.0,,,1,,,22.0
4299952,25610763.0,10.1016/j.nicl.2014.11.012,PTSD symptom severity is associated with increased recruitment of top-down attentional control in a trauma-exposed sample☆,Neuroimage Clin,2014,http://creativecommons.org/licenses/by-nc-nd/3.0/,57.0,,,1,,,57.0
7177590,32147973.0,10.1002/brb3.1591,Pregenual or subgenual anterior cingulate cortex as potential effective region for brain stimulation of depression,Brain Behav,2020,http://creativecommons.org/licenses/by/4.0/,88.0,43.0,45.0,1,88.0,,
5390838,28413706.0,10.1002/brb3.655,Basic taste processing recruits bilateral anteroventral and middle dorsal insulae: An activation likelihood estimation meta‐analysis of fMRI studies,Brain Behav,2017,http://creativecommons.org/licenses/by/4.0/,238.0,,,1,,,238.0
3464709,22640773.0,10.1186/1744-9081-8-26,Activation of dorsolateral prefrontal cortex in a dual neuropsychological screening test: An fMRI approach,Behav Brain Funct,2012,http://creativecommons.org/licenses/by/2.0,19.0,5.0,14.0,1,19.0,,
3282900,22261925.0,10.1007/s11682-011-9146-z,Neural correlates of a single-session massage treatment,Brain Imaging Behav,2012,https://creativecommons.org/licenses/by-nc/4.0/,40.0,28.0,12.0,1,40.0,,
8096430,33755019.0,10.7554/eLife.61679,Right inferior frontal gyrus implements motor inhibitory control via beta-band oscillations in humans,eLife,2021,https://creativecommons.org/licenses/by/4.0/,59.0,,,1,,,59.0
2518922,18655719.0,10.1186/1471-2202-9-72,Brain maps of Iowa gambling task,BMC Neurosci,2008,http://creativecommons.org/licenses/by/2.0,24.0,16.0,8.0,1,24.0,,
7759590,32584213.0,10.1017/S0033291720001397,Interaction of irritability and anxiety on emotional responding and emotion regulation: a functional MRI study,Psychol Med,2020,https://creativecommons.org/licenses/by/4.0/,155.0,63.0,92.0,1,,,155.0
4221616,25372882.0,10.1371/journal.pone.0112222,Altered Resting-State Amygdala Functional Connectivity after 36 Hours of Total Sleep Deprivation,PLoS One,2014,http://creativecommons.org/licenses/by/4.0/,14.0,,,1,14.0,,
6051673,30035027.0,10.1016/j.nicl.2018.05.006,Brain connectivity changes when comparing effects of subthalamic deep brain stimulation with levodopa treatment in Parkinson's disease,Neuroimage Clin,2018,http://creativecommons.org/licenses/by/4.0/,13.0,,,1,,13.0,
4556667,26325581.0,10.1371/journal.pone.0137014,Neural Responses to Truth Telling and Risk Propensity under Asymmetric Information,PLoS One,2015,http://creativecommons.org/licenses/by/4.0/,13.0,,,1,,,13.0
8413787,34333866.0,10.1002/brb3.2287,Early post‐treatment blood oxygenation level‐dependent responses to emotion processing associated with clinical response to pharmacological treatment in major depressive disorder,Brain Behav,2021,https://creativecommons.org/licenses/by/4.0/,18.0,,,1,18.0,,
5893717,29670548.0,10.3389/fpsyt.2018.00108,Neural Correlates of Semantic Inhibition in Relation to Hypomanic Traits: An fMRI Study,Front Psychiatry,2018,https://creativecommons.org/licenses/by/4.0/,36.0,,,1,,,36.0
4949632,25630307.0,10.1002/aur.1448,Episodic Recollection Difficulties in ASD Result from Atypical Relational Encoding: Behavioral and Neural Evidence,Autism Res,2015,http://creativecommons.org/licenses/by/4.0/,1206.0,,,1,,,1206.0
3984447,24818075.0,10.1016/j.nicl.2014.03.003,Altered resting-state functional connectivity in patients with chronic bilateral vestibular failure,Neuroimage Clin,2014,https://creativecommons.org/licenses/by-nc-nd/3.0/,47.0,,,2,25.0,22.0,
4215471,25379440.0,10.1016/j.nicl.2014.08.021,Functional and structural changes in the brain associated with the increase in muscle sympathetic nerve activity in obstructive sleep apnoea,Neuroimage Clin,2014,http://creativecommons.org/licenses/by-nc-sa/3.0/,32.0,,,2,15.0,17.0,
2911396,20618926.0,10.1186/1744-9081-6-42,On the neuro-cognitive foundations of basic auditory number processing: an fMRI study,Behav Brain Funct,2010,http://creativecommons.org/licenses/by/2.0,17.0,,,1,,,17.0
3555868,23372641.0,10.1371/journal.pone.0049231,Neural Basis of Scientific Innovation Induced by Heuristic Prototype,PLoS One,2013,http://creativecommons.org/licenses/by/4.0/,2.0,,,1,,,2.0
7921457,33664643.0,10.3389/fnins.2021.554194,Auditory Stimulation Modulates Resting-State Functional Connectivity in Unresponsive Wakefulness Syndrome Patients,Front Neurosci,2021,http://creativecommons.org/licenses/by/4.0/,31.0,,,2,18.0,13.0,
4687299,26689596.0,10.1186/s12883-015-0514-y,Using network dynamic fMRI for detection of epileptogenic foci,BMC Neurol,2015,http://creativecommons.org/licenses/by/4.0/,38.0,22.0,16.0,2,19.0,19.0,
7031677,32116615.0,10.3389/fnhum.2020.00038,The Similarity Between Chinese Five-Pattern and Eysenck’s Personality Traits: Evidence From Theory and Resting-State fMRI,Front Hum Neurosci,2020,http://creativecommons.org/licenses/by/4.0/,170.0,,,1,170.0,,
6558200,31214012.0,10.3389/fnagi.2019.00111,Neurocompensatory Effects of the Default Network in Older Adults,Front Aging Neurosci,2019,http://creativecommons.org/licenses/by/4.0/,45.0,25.0,20.0,1,45.0,,
7728610,33329150.0,10.3389/fpsyt.2020.599256,Does Chronic Cannabis Use Impact Risky Decision-Making: An Examination of fMRI Activation and Effective Connectivity?,Front Psychiatry,2020,http://creativecommons.org/licenses/by/4.0/,40.0,,,1,,,40.0
2944888,20886034.0,10.1371/journal.pone.0012966,The Neural Correlates of Problem States: Testing fMRI Predictions of a Computational Model of Multitasking,PLoS One,2010,http://creativecommons.org/licenses/by/4.0/,13.0,,,1,13.0,,
4019508,24824731.0,10.1371/journal.pone.0095146,Nonlinear Complexity Analysis of Brain fMRI Signals in Schizophrenia,PLoS One,2014,http://creativecommons.org/licenses/by/4.0/,29.0,,,2,16.0,13.0,
3896989,24478665.0,10.3389/fnhum.2013.00930,Insular dysfunction within the salience network is associated with severity of symptoms and aberrant inter-network connectivity in major depressive disorder,Front Hum Neurosci,2013,http://creativecommons.org/licenses/by/3.0/,50.0,,,2,25.0,25.0,
3755273,24009565.0,10.3389/fnbeh.2013.00109,The Effect of Retrieval Focus and Emotional Valence on the Medial Temporal Lobe Activity during Autobiographical Recollection,Front Behav Neurosci,2013,http://creativecommons.org/licenses/by/3.0/,17.0,,,1,,,17.0
4731490,26858629.0,10.3389/fnhum.2015.00718,Why Do Some Find it Hard to Disagree? An fMRI Study,Front Hum Neurosci,2015,http://creativecommons.org/licenses/by/4.0/,39.0,19.0,20.0,1,39.0,,
5707237,27757820.0,10.1007/s11682-016-9639-x,Increased brain connectivity and activation after cognitive rehabilitation in Parkinson’s disease: a randomized controlled trial,Brain Imaging Behav,2016,OpenAccess,44.0,,,1,,44.0,
6934088,31766006.0,10.1016/j.dcn.2019.100729,Always on my mind: Cross-brain associations of mental health symptoms during simultaneous parent-child scanning,Dev Cogn Neurosci,2019,http://creativecommons.org/licenses/by-nc-nd/4.0/,27.0,,,1,,,27.0
3871655,24376780.0,10.1371/journal.pone.0084001,Racial Bias in Neural Empathic Responses to Pain,PLoS One,2013,http://creativecommons.org/licenses/by/4.0/,20.0,12.0,8.0,1,,,20.0
7511868,33013648.0,10.3389/fneur.2020.00980,Alterations of Functional Connectivity in Stroke Patients With Basal Ganglia Damage and Cognitive Impairment,Front Neurol,2020,http://creativecommons.org/licenses/by/4.0/,35.0,,,2,21.0,14.0,
4640353,26553191.0,10.1186/s12888-015-0656-x,Evaluating the impact of cannabis use on thalamic connectivity in youth at clinical high risk of psychosis,BMC Psychiatry,2015,http://creativecommons.org/licenses/by/4.0/,105.0,,,1,105.0,,
8825403,34403039.0,10.1007/s11682-021-00491-y,Prefrontal and striatal dopamine D2/D3 receptors correlate with fMRI BOLD activation during stopping,Brain Imaging Behav,2021,https://creativecommons.org/licenses/by/4.0/,22.0,,,1,,,22.0
3534243,23316257.0,10.1155/2012/467061,Impact of Global Normalization in fMRI Acupuncture Studies,Evid Based Complement Alternat Med,2012,https://creativecommons.org/licenses/by/3.0/,30.0,15.0,15.0,1,30.0,,
5826250,29515382.0,10.3389/fnhum.2018.00054,Spatial Arrangement and Set Size Influence the Coding of Non-symbolic Quantities in the Intraparietal Sulcus,Front Hum Neurosci,2018,http://creativecommons.org/licenses/by/4.0/,24.0,16.0,8.0,1,,,24.0
